,product_cd,unit_price,unit_cost,new_price,new_profit_rate
0,P040101001,198.0,149.0,213.0,0.3004694835680751
1,P040101002,218.0,164.0,234.0,0.29914529914529914
2,P040101003,230.0,173.0,247.0,0.29959514170040485
3,P040101004,248.0,186.0,266.0,0.3007518796992481
4,P040101005,268.0,201.0,287.0,0.29965156794425085
5,P040101006,298.0,224.0,320.0,0.3
6,P040101007,338.0,254.0,363.0,0.3002754820936639
7,P040101008,420.0,315.0,450.0,0.3
8,P040101009,498.0,374.0,534.0,0.299625468164794
9,P040101010,580.0,435.0,621.0,0.2995169082125604
